SID,error_rate%,capsLock_usage,wpm,negative_ud%,negative_uu%,rsa_ratio,lsa_ratio,mean_hold_time1,mean_hold_time2,mean_f1,mean_f2,mean_f3,mean_f4,UID
17,2.48565965583174,0,53.544173943503395,13.026819923371647,0.0,0.0,0.0,104.86781609195403,104.83716475095785,124.64942528735632,229.51724137931035,229.48659003831418,334.3544061302682,2
18,3.300970873786408,0,52.57053213060857,14.202334630350194,0.0,0.0,0.0,110.53501945525292,110.50389105058366,122.43385214007782,232.96887159533074,232.93774319066148,343.4727626459144,2
19,2.1333333333333333,0,27.00450075012502,10.795454545454545,0.0,0.0,0.0,118.0909090909091,118.22443181818181,222.40625,340.49715909090907,340.6306818181818,458.72159090909093,2
20,5.060728744939271,0,35.705604774157855,12.170385395537526,0.0,0.0,0.0,107.96551724137932,108.03042596348884,133.81744421906694,241.78296146044624,241.8478701825558,349.81338742393507,2
21,3.1683168316831685,0,37.4722081123167,12.698412698412698,0.0,0.0,0.0,107.20238095238095,107.38888888888889,130.6984126984127,237.90079365079364,238.0873015873016,345.28968253968253,2
1,20.0,0,2.9745674483168907,8.47457627118644,5.084745762711865,0.0,1.0,159.76271186440678,161.84745762711864,1203.5084745762713,1363.2711864406779,1365.3559322033898,1525.1186440677966,3
2,0.819672131147541,0,13.909187118883233,8.849557522123893,5.3097345132743365,0.058823529411764705,0.9411764705882353,352.7079646017699,349.7699115044248,524.6106194690266,877.3185840707964,874.3805309734513,1227.0884955752213,3
3,0.9302325581395349,0,10.682659419950335,2.857142857142857,1.9047619047619049,0.0,1.0,754.2285714285714,752.9714285714285,261.42857142857144,1015.6571428571428,1014.4,1768.6285714285714,3
4,0.9523809523809524,0,9.132960685986825,3.8461538461538463,0.0,0.0,1.0,107.64423076923077,107.52884615384616,1028.201923076923,1135.8461538461538,1135.7307692307693,1243.375,3
5,21.951219512195124,0,1.9885822237320718,0.0,0.0,0.0,0.0,312.5128205128205,319.7435897435897,2750.25641025641,3062.769230769231,3070.0,3382.5128205128203,3
6,35.0,0,0.9977301638771795,10.714285714285714,7.142857142857142,0.0,1.0,7144.571428571428,6830.321428571428,-2876.5714285714284,4268.0,3953.75,11098.32142857143,3
7,0.0,0,8.336324375644038,12.857142857142856,5.714285714285714,0.1,0.9,720.5857142857143,725.8142857142857,493.57142857142856,1214.1571428571428,1219.3857142857144,1939.9714285714285,3
